lambda	exc	em
672	0	0.16804701
673	0	0.19405428
674	0	0.22506296
675	0	0.26107303
676	0	0.30308478
677	0	0.35109821
678	0	0.40711388
679	0	0.37110381
680	0	0.3370943
681	0	0.30608562
682	0	0.27807779
683	0	0.25207051
684	0	0.22906408
685	0	0.2230624
686	0	0.24606883
687	0	0.27107583
688	0	0.29808338
689	0	0.32809178
690	0	0.36210129
691	0	0.39811136
692	0	0.37710549
693	0	0.33909485
694	0	0.30508534
695	0	0.27407667
696	0	0.24606883
697	0	0.22106184
698	0	0
699	0	0
700	0	0
701	0	0
702	0	0
703	0	0
704	0	0
705	0	0
706	0	0
707	0	0
708	0	0
709	0	0
710	0	0
711	0	0
712	0	0
713	0	0
714	0	0
715	0	0
716	0	0
717	0	0
718	0	0
719	0	0
720	0	0
721	0	0
722	0	0
723	0	0
724	0	0
725	0	0
726	0	0
727	0	0
728	0	0
729	0	0
730	0	0
731	0	0
732	0	0
733	0	0
734	0	0
735	0	0
736	0	0
737	0	0
738	0	0
739	0	0
740	0	0
741	0	0
742	0	0
743	0	0
744	0	0
745	0	0
746	0	0
747	0	0
748	0	0
749	0	0
750	0	0
751	0	0
752	0	0
753	0	0
754	0	0
755	0	0
756	0	0
757	0	0
758	0	0
759	0	0
760	0	0
761	0	0
762	0	0
763	0	0
764	0	0
765	0	0
766	0	0
767	0	0
768	0	0
769	0	0
770	0	0
771	0	0
772	0	0
773	0	0
774	0	0
775	0	0
776	0	0
777	0	0
778	0	0
779	0	0
780	0	0
781	0	0
782	0	0
783	0	0
784	0	0
785	0	0
786	0	0
787	0	0
788	0	0
789	0	0
790	0	0
791	0	0
792	0	0
793	0	0
794	0	0
795	0	0
796	0	0
797	0	0
798	0	0
799	0	0
800	0	0
